iter	Passed	Remaining
407	5359	7776
408	5370	7760
409	5381	7743
410	5392	7727
411	5403	7711
412	5414	7695
413	5425	7679
414	5436	7663
415	5447	7648
416	5459	7632
417	5470	7616
418	5481	7601
419	5493	7586
420	5505	7571
421	5518	7558
422	5532	7546
423	5546	7534
424	5561	7524
425	5576	7514
426	5591	7503
427	5605	7491
428	5620	7481
429	5636	7471
430	5652	7462
431	5667	7452
432	5683	7442
433	5697	7430
434	5710	7416
435	5722	7402
436	5734	7388
437	5746	7373
438	5757	7358
439	5769	7342
440	5780	7326
441	5791	7311
442	5802	7295
443	5813	7280
444	5825	7265
445	5836	7249
446	5847	7234
447	5858	7219
448	5870	7203
449	5881	7188
450	5893	7173
451	5904	7158
452	5915	7143
453	5927	7129
454	5939	7114
455	5950	7098
456	5961	7083
457	5972	7068
458	5984	7053
459	5995	7037
460	6006	7022
461	6018	7008
462	6029	6993
463	6040	6977
464	6051	6962
465	6062	6947
466	6073	6932
467	6085	6917
468	6096	6902
469	6107	6886
470	6118	6872
471	6129	6856
472	6140	6841
473	6151	6826
474	6162	6811
475	6173	6796
476	6185	6781
477	6195	6766
478	6207	6751
479	6218	6736
480	6229	6721
481	6240	6707
482	6252	6692
483	6263	6677
484	6274	6662
485	6285	6647
486	6296	6632
487	6307	6617
488	6318	6603
489	6329	6588
490	6341	6573
491	6352	6558
492	6362	6543
493	6374	6529
494	6385	6514
495	6396	6499
496	6407	6484
497	6417	6469
498	6429	6454
499	6441	6441
500	6453	6427
501	6467	6415
502	6479	6401
503	6490	6387
504	6501	6372
505	6512	6358
506	6523	6343
507	6534	6329
508	6546	6314
509	6557	6300
510	6568	6285
511	6580	6271
512	6591	6257
513	6602	6242
514	6613	6227
515	6625	6214
516	6636	6200
517	6647	6185
518	6659	6171
519	6670	6157
520	6682	6143
521	6693	6129
522	6704	6114
523	6715	6100
524	6726	6086
525	6737	6071
526	6749	6057
527	6760	6043
528	6771	6029
529	6782	6014
530	6793	6000
531	6804	5985
532	6815	5971
533	6827	5957
534	6838	5943
535	6850	5929
536	6861	5915
537	6872	5901
538	6883	5887
539	6894	5873
540	6906	5859
541	6917	5845
542	6928	5831
543	6939	5817
544	6951	5803
545	6962	5789
546	6973	5775
547	6984	5760
548	6995	5746
549	7006	5732
550	7017	5718
551	7029	5704
552	7040	5690
553	7051	5677
554	7062	5662
555	7073	5648
556	7085	5635
557	7096	5621
558	7107	5607
559	7118	5593
560	7129	5579
561	7141	5565
562	7152	5551
563	7163	5537
564	7174	5523
565	7185	5509
566	7196	5495
567	7207	5481
568	7218	5467
569	7229	5454
570	7240	5440
571	7251	5426
572	7262	5412
573	7273	5398
574	7285	5384
575	7296	5370
576	7307	5357
577	7318	5343
578	7329	5329
579	7340	5315
580	7352	5302
581	7363	5288
582	7376	5275
583	7398	5270
584	7412	5258
585	7425	5246
586	7437	5233
587	7450	5220
588	7462	5207
589	7473	5193
590	7485	5180
591	7498	5167
592	7510	5154
593	7522	5141
594	7535	5129
595	7546	5115
596	7558	5102
597	7569	5088
598	7580	5074
599	7592	5061
600	7603	5047
601	7614	5033
602	7625	5020
603	7636	5006
604	7647	4992
605	7659	4979
606	7670	4966
607	7681	4952
608	7692	4938
609	7703	4925
610	7714	4911
611	7725	4897
612	7736	4883
613	7747	4870
614	7758	4856
615	7769	4843
616	7780	4829
617	7792	4816
618	7803	4802
619	7814	4789
620	7825	4775
621	7836	4762
622	7847	4749
