iter	MultiClass
0	1.005097521
1	0.9311600805
2	0.8680008868
3	0.8144156846
4	0.7653786959
5	0.7241502739
6	0.6860441757
7	0.6515326913
8	0.6237593366
9	0.5968921592
10	0.5733723952
11	0.5505845169
12	0.5303911966
13	0.5131344834
14	0.4976857369
15	0.4843078166
16	0.4698784413
17	0.4562951345
18	0.4450917919
19	0.4339701708
20	0.4242534988
21	0.4140382931
22	0.4049389511
23	0.3965723737
24	0.3881119943
25	0.3810128311
26	0.3735754805
27	0.3667161899
28	0.3611552804
29	0.3558643633
30	0.3508116352
31	0.3447637323
32	0.3398684728
33	0.3349281689
34	0.3306743881
35	0.3258471591
36	0.3208286247
37	0.3172812829
38	0.3139904787
39	0.3101672426
40	0.3058063204
41	0.3024361951
42	0.2992168244
43	0.2959801741
44	0.2926620248
45	0.2902122812
46	0.2871813277
47	0.2850461173
48	0.2819906764
49	0.2794107385
50	0.2768409983
51	0.2741863337
52	0.2713322268
53	0.2692782476
54	0.2668134888
55	0.264923682
56	0.2632742466
57	0.2612534377
58	0.2597807288
59	0.2581707558
60	0.2562065082
61	0.2549223126
62	0.252805507
63	0.2509935704
64	0.2494522701
65	0.2475297444
66	0.2458698166
67	0.2444039284
68	0.2429792693
69	0.2416127401
70	0.2395546395
71	0.2381937692
72	0.2362908209
73	0.2344348373
74	0.2328958406
75	0.2317711949
76	0.2305103014
77	0.228879981
78	0.22655489
79	0.2254887523
80	0.2244183467
81	0.223060883
82	0.2217218085
83	0.2200345
84	0.2191289664
85	0.2183380465
86	0.216661383
87	0.2154752839
88	0.2142976723
89	0.21339145
90	0.2121741007
91	0.2108807164
92	0.2099872206
93	0.2089162759
94	0.2080835007
95	0.2064436581
96	0.2048990301
97	0.2034491735
98	0.2026875819
99	0.2020299922
100	0.2007158391
101	0.1994431939
102	0.1987817597
103	0.197898261
104	0.1968276141
105	0.195871475
106	0.1948473268
107	0.1939560488
108	0.1927140408
109	0.1917483454
110	0.1904301044
111	0.1895284076
112	0.1886087931
113	0.1874170588
114	0.186449736
115	0.1851858627
116	0.184207748
117	0.1829276025
118	0.1821294326
119	0.1812239732
120	0.1806448801
121	0.1799342628
122	0.1791850893
123	0.1780150258
124	0.1771931996
125	0.1763490287
126	0.1755875398
127	0.1749221619
128	0.174463514
129	0.173768322
130	0.1731962693
131	0.1725565058
132	0.1719977247
133	0.1710035475
134	0.1698405784
135	0.1689984613
136	0.1682964873
137	0.1672186344
138	0.1668016833
139	0.1659433344
140	0.1653596522
141	0.1645573598
142	0.163748711
143	0.1629945688
144	0.1623814355
145	0.1617522028
146	0.1609158849
147	0.1603865697
148	0.1595605252
149	0.1591968972
150	0.1584246452
151	0.1579013051
152	0.1573732518
153	0.1565802018
154	0.1557426658
155	0.1552163601
156	0.1546885496
157	0.1540603742
158	0.1537134925
159	0.1531007323
160	0.1524719872
161	0.1520153398
